demo,crt,diff_demo_crt_s,fp_demo_crt,rme,diff_demo_rme_s,fp_demo_rme,fp_crt_rme,answers,diff_answers_s,method
RBbTtpu9IS-E464ErXXQ9QfNUTXXBZXX,O8-bqPesqnVIevk8uI7YSaLi5VUPInnO,0.9909999370574951,True,hZ-m-ZK0nzqJCW7w78BbbCCMzc1xt7cX,0.8789999485015869,True,True,H1r89IY4IElJZr0Mua_IHYheZoXUaK9C,0.6670000553131104,hungarian
x-i1522unwigNZvjoimf3PHH2OMOdo-7,QjN35fSUULWCfijE4rKp9qXX8V7tiqwa,0.929999828338623,True,xsO0dbkfFD7qTuVCepEm6LfVtWdLDBkK,0.5039999485015869,True,True,ETBez2P1zm2GEUqBTA_Acg4_mizDP40r,0.08099985122680664,hungarian
Q35tKBAbUxUnRxZ587C97_2OTkOPUMy4,7tMyXBAt7TjlNZHmW6Y2r1rrzvi9wJVb,0.500999927520752,False,hDbKlr11NKIZp9HpMjg5YlCTtnLdXf0V,0.6659998893737793,False,False,IVpyOTs6QFWzQ8UdHsJGkCE_YPxmx-gX,0.09100008010864258,hungarian
-psB0fREf8OBMsmULBihVf-hdWBUTssi,swiGJR7-SFktQQ8L1ySWckTE3wL_jwNK,1.3299999237060547,True,x0FWsZubmMcfGVudaqE6WdNYnNPb_4yr,0.9769999980926514,True,True,_wzHviVG6kYDk_xHd3L_ktr_fVLPLa5O,1.0480000972747803,hungarian
gzyffymh0wo4h1PAIX1RzvG5qzLupfP6,FUwUOhNCeQ4brMJKT-4Pj3cyRyBM8xQC,0.029999971389770508,True,RROoQi02y0s5_v37NxgpzkivDOvs5ENr,0.19500017166137695,True,True,ZPaEu7nXAeb7ehuNfVRNSwSUMyF7y7lK,0.30299997329711914,hungarian
9h1-HH9GgkLj1T4S-9KiRoQj2wrQGho0,XcBh6aGhodF8bldx1bHYf3SC3t8zFMOZ,0.3540000915527344,True,zjm9WRU0q54juxNuuqhCllvo_Mh31BAz,0.367999792098999,True,True,VUYUZHG_zLSlniOXCph6nbCEIRyC94ZT,0.7139999866485596,hungarian
WchA4fD2_U6h3Wosh8vfkJkgb8JRX2Nh,F11PgW0P1N3M3HZ-S8aCVaWCyQUza7aS,0.6619997024536133,True,Fhpx_qzZyaxSngewvoqTXoPLsYMbilAp,0.36999988555908203,True,True,ozxgfiMouXk6QCOazOaYsZaiKiRQnqIN,0.19299983978271484,hungarian
ROqXOVrSlb-KzEgqikdTJLc_e1gq0nIL,EieMnQ6H3oasywWg-EehRSTgbJR726dF,0.6200003623962402,False,Oxe1yTrEzLiNRlPrDZKgP0IZSBtD3r99,0.06600022315979004,False,False,SdyFxToq7tgijzMcXMPPf1vMF0D2XQ_O,0.19800019264221191,hungarian
e8jr_5urcT9xMToQKEMMuud2BuQz0738,caSJ9r7Fsv1lW5mUFhkkIB9YZLBY_eLG,0.17100024223327637,True,ZEeMLbJ5w5-vDL0DFgGOfGKwbvH-qFY5,0.015000104904174805,True,True,LJizvckKX9fxpwxDzvOq9OXwEU--Ruzd,0.21500015258789062,hungarian
dy4ihMJqV4wIfdZzcqT2c1RBkcicW4si,hYAn9AD6oQ-FHQo7K7sNbg82Re1CcVIf,1.3139996528625488,True,2NI3XiKpfSF4G61e45X2B0SEocdUaQbx,0.9979996681213379,True,True,3da-rvLIXZuI3lCd8p03Dpz6wu527rqV,0.9169998168945312,hungarian
f7f1s_FuEnOGzMfUjVwvw0WdaWYroVyb,pzya3HINvw8lkebOh32ryEZLx-XmR0BJ,0.43899989128112793,True,jG_VJr2v9D6KhH0JKFjTCRML4uieyUtE,0.5230002403259277,True,True,Y4eF12SW_72Dx-8CWB_4cwSiPQzjc4fx,0.07399988174438477,hungarian
cv8_FQ-a_-shbUInKXNdGNKsYMCmCPRc,tImsPowH0vz_LxXPRIrZN9tJ66ZI4RbG,0.11900019645690918,True,TXWZV4eVVxAkNTbLzQRjfozYQXwNAW3u,0.2690000534057617,True,True,gzEkkRlFHHyPpA1wQqVKCX2CJ5kDX653,0.04499983787536621,hungarian
K5eRub0Z-RfJWWGboXtP0Lmmc4TWFIIW,GyBG6q9clevVIwTW2lIbG5dVvy9lRSYp,0.9689998626708984,True,YIYMILdztknXt0PCt5gClEL6pKmyPZ-1,0.20200014114379883,True,True,jXG0QBp63ZG5kn-JBXAXqUGrlJdppB8Q,0.2049999237060547,hungarian
5u7ENnQxwkiLKdbOT0FU53UAF1ZGbFlX,9DnBePGlHfzT7mlPixNR-F6FldTowudd,0.5639998912811279,True,mrhtrXuq4wSmIZ3j-iKRGZhEI9JN_nC5,1.372999906539917,True,True,Kd9-FqCBMxEEU74jE_9yAWdeLNmEf2Fl,0.33299994468688965,hungarian
8POS88Mnmm3AMc3NH1nyCtfFCh3wRRYD,fKwVZDgGhDZ6MaMwZiZRbLVCoh-qYgdE,0.7389998435974121,True,fPHTiD6BFZ10WSOwkUnFsUiVoKv5fnrd,0.8920001983642578,True,True,IqU5uELGHjZib7S1P4GFbkibMzSBNqKb,0.3660001754760742,hungarian
T9rFjYg07euJdZlvOIdBhoC6E2vnYnef,fnbKhyq0R_HB4kK9CZZv7zjvgMf59qTC,0.5459997653961182,True,lNx1j-FsnR1YtgFSiJLr9ztcHvrgNVq0,0.3209998607635498,True,True,7i-EuKMIuz3SxjqvefVXpMWySL810v8N,0.48999977111816406,hungarian
v8HgSxAhSlhYGnjtx2j81sxici6AjEoA,E15Lx6jn0CG_2pPqk-UvuBAuXsV5nS2Y,0.30099987983703613,True,IaKNKp1Ncstt-fZjjnTVvkAprQs6Ux2b,0.7170002460479736,True,True,4uEiYhojdoQTEUDVkNjVN-oDzqyCwKDC,1.4670000076293945,hungarian
kt7W_sh8GsEwNunF6GTLVhIksO0nqRBH,BcIhDohkAYGw3fP4qVRuv1MKTVCIfaNv,1.5460000038146973,True,u83EB7l3Fl9vxrVPP3UMyJIu3gPvLPv4,1.9730000495910645,True,True,tAYSXDmo0CiVl2CrnyTxkxsQHTle82pE,1.8640000820159912,hungarian
Wy9dtKw8uLto3qlUsDLpzXh5TWbLWFwd,vPUopQT9gb460x-vQ3rjCB8_sMeBkfmN,0.2929999828338623,True,fn1ZHK4kcrIPk6DMOur2nusgA80WH3Ed,0.4350001811981201,True,True,xHYeDxv8EEgOKnr9UFhxciZ3mrVBUdud,0.3080000877380371,hungarian
YCy1PhIYowRvcekPB5t4JuHV8BIoCKI8,DZC3o8h8lNjEkZjlRspSoR8wKjb2YRWd,0.30500006675720215,True,UAV2EfYL5eSdoLaOsW9l1MOQNPwpuHYb,0.4029998779296875,True,True,-xwl0pDnMgEZhhznT2L1OD0X_ou0R16X,0.06399989128112793,hungarian
msbDh5nncuNXOZqRbnAc8zmoHtimYNH2,ESL9ib2yNOfZKO0ttYFijWnvE3nZ1-zq,0.43900012969970703,True,pYmBk7gs-R9113vutLU4lJcN4DVEjaxm,0.36500000953674316,True,True,HbUXTjR3pwbvwIub5S0DF4aJxON6o_r0,0.38300013542175293,hungarian
MLUF0ogWUBCwq04r1mhJlN8cVx8-Ch9e,9BXrY3mjlQsCjDtLtliV5sXg5-uijaMG,0.6530001163482666,True,ysL_X2YQ6sWxsPepnSwn4jOrkxOu2iRt,0.45200037956237793,True,True,mNoqu_eOLSFmbWWbwJN0aJe_vSihSZJn,0.7669999599456787,hungarian
WJpiRoVmbGAGfCOvFqVv-F7DVDAo_hKe,aUIBuEVcjCZ0BARu6zHbG4fdEICfWRgG,0.007999897003173828,False,C69l_IFezzY3Fe5Ycx1o99ysPhSttsKn,0.2710001468658447,False,False,a8LcqLxhHISg2uZDh3N7oo3zTu3JQsGB,0.015000104904174805,hungarian
IYWOpj3xHFmlu91otbDf76vn_BnMOMYf,2SzWBAb0iGsu4SuHx3fzsxghvCUKJkru,0.5890002250671387,True,5z17IXUaS8HKiQcE6ofNDsfxxjbU_uPk,0.6749999523162842,True,True,rB6vV48RyccAJcQDOvOdA4FYLD2DFjNY,0.4780001640319824,hungarian
RYTBxzMsdedlHQORrQN7A-7D6DoyqcAg,wn2gbPJvxGzZzqT22fGlYXr2pcBqo3JH,0.30900001525878906,True,EQoVNYu6vL4VfYe-azuCEktH9Yuua4gU,0.5659999847412109,True,True,XEoYooz1j9lk3eEaLw4pxWjxlzY0_Hsz,0.2720000743865967,hungarian
SVOlsjU9_rOtMXG4qEHe7iUDrzWPGwGB,yWA_aYMZcQzCTOJsTjNN85Vl6S4juYHz,0.1399998664855957,True,mlPFH1mIWs8oWeEa1_NtRKqFgv9amkCS,0.4330003261566162,True,True,Y_3rmhnkpFKYHvAFy3adXJq0nDM-Gd1w,0.23099994659423828,hungarian
gR_B-3v9TPHqG7kzeuse5xUSYMYIbFjw,KT0sPMqFexOhRSSP1UTstfVkv94CEdvN,0.10900020599365234,True,0Z66zvr3yoH6gngwfaqk7KxggNPfyrnc,0.03499960899353027,True,True,OtA98zPKPg-b6FIgADLaJMXJxVl7d30B,0.2330000400543213,hungarian
k8eXL9EM2o330Qe2oHHo9k_Jy2VU3f_p,-Ou-bwP1-xFDxW4nzrBaACxnVkVmd-6j,0.3750002384185791,True,iLHj8krV8BYLicda1fqVrrrVMmKphoMA,0.0820000171661377,True,True,INkZpDlA_W1o0xpwdYoLvhEo_qs-awE5,0.21400022506713867,hungarian
br9L2P64pGbbylBrGVNiMMuMNRaHo56J,by1HBKKaI_li1jcIn9EFvmoGku84nQNW,0.3360002040863037,True,QxTQrhkIzhEaGdWQaoqxA_0idy_v8s1e,0.5049998760223389,True,True,c4tK92qa0CQotMMD-Zk6mLXyfrwoUsCm,0.9560000896453857,hungarian
qWyC8k4wTLUvQvs8nrQBdOnJvEkE1sf4,ByRn1D6PjcZepvijuqPsantIGO0Wzjj7,0.0709998607635498,True,3ZxBTKfqZKQDL82EMCZkKlTnpW5Cl9Fc,0.7460000514984131,True,True,szlXg_Zka5kgngy5xobItraP2F4-U5Bz,0.30499982833862305,hungarian
XKmsqmtarvs9y5el5OFKFXQQ2yFG7oMY,zjPIrU-kUrrB2qUiwdg_2hJZEABpqgBP,0.017999887466430664,True,Qb9oeaa610JINbJSyCJ-FnRR5cztNIfZ,0.0410001277923584,True,True,rL3nIuy2RvMxGY6Ca9DzZJtbM57YLYR5,0.27500009536743164,hungarian
JQTtGdQZaiPc8foytqSiKtLGoAI_Whuu,eO_iUet_7d8NgW-Mp-E6zpEEYJqnPF18,0.29000020027160645,True,Qsj7QOQoG77CTsXo3J-DUqT8qk-ZFW7C,0.8670001029968262,True,True,dLxAvxEBQUdx63rQBdKZsyTWcYAldy6I,0.4419999122619629,hungarian
Nj8WNe1-pR3_CdbhzAxkHfMMg1v9hv8y,P5J7OuM9D1MP1ceGleLAkghk7DrORZ7w,0.12800002098083496,False,sJI_i-v_eAx5vPZwV6b8r2Htw8k-Y_-6,0.09299993515014648,False,False,Y1FlhXfUWTBHwP7eCCW0-pa-i94evInz,0.6499998569488525,hungarian
LU2a844-Lg26CbYuk_J4MGnLOnuvJZ6B,qLy792IqE8SlJf5-WUfnRrommaziASdv,0.36099982261657715,True,xFUwdxCtFYA_ihMvF9I2PmoCHgml0J2e,0.5669999122619629,True,True,59Ew3tT0xy0_0yw5J23GMAikneG2Gq6q,0.35000014305114746,hungarian
5wl3wf0gLRLoXlFYVSVEgX7llmpg8a1A,X1GUEawhRFKTcUbitYpFTIqB1lvQkJgZ,0.5000002384185791,True,NnlPFCx4b5UysqiQBtajbRhJpOrZKoyE,0.5990002155303955,True,True,wCloEnjHYE9GpHtypspa9h2R7i3f5Y0b,1.1180000305175781,hungarian
QyyBsgpEiTGz70wYPH1-SlY7WZSup0ri,RnLk9x7ULBIhoQYjkL-k8bMi2uQfbMMr,0.13200020790100098,True,JwY0-6--SoZjMcXFUgIDZ8ZNP6-_31mc,0.4529998302459717,True,True,pQ7lp1m0lLHRgESeolXOIAuCwPBh9lJU,0.23200011253356934,hungarian
9-TBeR2p1ySsiqp40muFtfJJqqejYeKW,oHCeHpL8LcvH06JgVq_8rtzNtKtU4U1I,0.5249998569488525,False,pqnIH_luy6jSga6fgf0YNRD7eOSl5A9w,0.0,False,False,5UsybEV_3JyVl5Fl2EPMNmWG9RIh-aB3,0.7129998207092285,hungarian
lszoKEzd3VnTGCpfE6c6eOXbLa8J6iW0,MoKQYLGmAtENCIxnDH9pVk8A2LrDl8oK,0.5119998455047607,True,0Nd8UrK-buVr0fS4WddC-eumi_5RUPP8,1.2790000438690186,True,True,JIsQ4pYsixHQVYJr2IWU-GVqJcokYiKj,0.04700016975402832,hungarian
CKGjemsxigHQLkF5XLAclioan9Muj17j,zB9S3QqLt5SZCcgWWmXZxA69U8nbLR3x,0.2109999656677246,True,2Dq4_hHF4PuzjRdzdUHY8fA0HJwVkruc,0.7380001544952393,True,True,Mn3wksujvHkJGgb_Lwt_63wG41meMZED,0.2890000343322754,hungarian
swu1bNgt_NHbdvuyz4OVAxfC157q08ro,Zz5sgr37-fyKkAMpQqcnduucSQtn9_yj,0.5279998779296875,True,CGDbKVTZ3zT1TbKX7EKhhdOujh9-qE4j,0.4049999713897705,True,True,RWmoclrJCCCn_Pk9JLW8e6e6BCIrCae2,1.001999855041504,hungarian
jm9dsKNtg9wR0lEJVRmJhEeQ4C9r4_6J,SLXZ6Dq49ILa-Q_BSwtDT_Ovv_AB75iv,0.749000072479248,True,LVeIoLTvdKtLEckqP9HLcZAJkbREUzGV,0.4830000400543213,True,True,LbysGjHGRGKMUUUsv27BYcgRuGBElJEj,0.5299999713897705,hungarian
